"","Year","Minimum.Pressure","Average.Pressure"
"1",1992,922,986.454545454545
"2",1993,1000,1005.28571428571
"3",1994,996,1004.46666666667
"4",1995,944,983.352941176471
"5",1996,934,982.16
"6",1997,947,982.4
"7",1998,965,992.916666666667
"8",1999,924,985
"9",2000,989,1001.375
"10",2001,948,994
"11",2002,966,999.391304347826
"12",2003,932,985.294117647059
"13",2004,916,989.294117647059
"14",2005,897,984.925925925926
"15",2006,965,995.666666666667
"16",2007,926,999.142857142857
"17",2008,946,990.32
"18",2009,951,994
"19",2010,940,989.692307692308
"20",2011,950,995.047619047619
"21",2012,960,994.277777777778
"22",2013,992,1007
"23",2014,942,997.5625
"24",2015,947,993
"25",2016,934,987
"26",2017,925,982.894736842105
"27",2018,947,981
"28",2019,910,982
"29",2020,917,980.695652173913
"30",2021,987,1001.1875
