"","Year","Maximum Wind","Average Wind"
"1",1851,100,73.3333333333333
"2",1852,90,71.8181818181818
"3",1853,80,75
"4",1854,60,60
"5",1855,70,56.6666666666667
"6",1856,100,100
"7",1857,70,57.5
"8",1858,80,63.3333333333333
"9",1859,100,73.75
"10",1860,100,78.5714285714286
"11",1861,90,63.75
"12",1862,90,58.125
"13",1863,90,77.5
"14",1864,70,55
"15",1865,90,68.3333333333333
"16",1866,120,92.5
"17",1867,80,62.5
"18",1868,90,78
"19",1869,50,50
"20",1870,90,75.3846153846154
"21",1871,100,74.5454545454545
"22",1872,80,60
"23",1873,100,95
"24",1874,70,58
"25",1875,90,74.4444444444444
"26",1876,90,64.2857142857143
"27",1877,100,65.7142857142857
"28",1878,110,59.6
"29",1879,80,55.7142857142857
"30",1880,110,69.375
"31",1881,80,50
"32",1882,100,71.8181818181818
"33",1883,90,73.3333333333333
"34",1884,80,57.7777777777778
"35",1885,60,46.6666666666667
"36",1886,105,69.7916666666667
"37",1887,105,57.2857142857143
"38",1888,110,58.75
"39",1889,90,59.5
"40",1890,85,50
"41",1891,100,57.8571428571429
"42",1892,85,59.5454545454545
"43",1893,105,81.6666666666667
"44",1894,100,66.3157894736842
"45",1895,90,70
"46",1896,100,77.5
"47",1897,60,46.25
"48",1898,95,53.0434782608696
"49",1899,130,70.4347826086957
"50",1900,95,48.5
"51",1901,90,48.4285714285714
"52",1902,45,40
"53",1903,90,52.3076923076923
"54",1904,55,40.4545454545455
"55",1905,50,40
"56",1906,115,65.6060606060606
"57",1907,45,38
"58",1908,105,68.1818181818182
"59",1909,105,46.5151515151515
"60",1910,125,72.5
"61",1911,80,43.1818181818182
"62",1912,100,62.1428571428571
"63",1913,65,45.4545454545455
"64",1914,60,44
"65",1915,125,77.6923076923077
"66",1916,105,53.125
"67",1917,100,56.3636363636364
"68",1918,85,55.5555555555556
"69",1919,95,43.75
"70",1920,45,34.375
"71",1921,105,53.2142857142857
"72",1922,105,50.3333333333333
"73",1923,65,51
"74",1924,95,56.0869565217391
"75",1925,35,31.6666666666667
"76",1926,125,60.3947368421053
"77",1927,110,48.1818181818182
"78",1928,140,76.25
"79",1929,105,67.5
"80",1930,40,37.5
"81",1931,75,40.6756756756757
"82",1932,145,78.8095238095238
"83",1933,135,62.0212765957447
"84",1934,85,45
"85",1935,85,41.8518518518519
"86",1936,90,48.9285714285714
"87",1937,45,35
"88",1938,135,54.4444444444444
"89",1939,120,49
"90",1940,70,41.1111111111111
"91",1941,115,55.3125
"92",1942,65,43.0555555555556
"93",1943,110,68.8235294117647
"94",1944,125,62
"95",1945,85,52.0588235294118
"96",1946,80,49.375
"97",1947,115,51.4285714285714
"98",1948,115,75
"99",1949,100,49.6428571428571
"100",1950,120,81.25
"101",1951,120,55.2777777777778
"102",1952,75,51
"103",1953,115,48.8461538461538
"104",1954,110,60
"105",1955,150,65.7894736842105
"106",1956,100,65
"107",1957,50,40
"108",1958,85,50.3571428571429
"109",1959,100,56.25
"110",1960,120,50.9090909090909
"111",1961,120,63.6363636363636
"112",1962,80,50
"113",1963,125,60.5
"114",1964,130,60.75
"115",1965,110,56.25
"116",1966,120,72.7272727272727
"117",1967,130,42.1428571428571
"118",1968,65,29.7058823529412
"119",1969,95,36.125
"120",1970,60,31.3461538461538
"121",1971,85,34.6341463414634
"122",1972,75,36.1111111111111
"123",1973,40,27.2222222222222
"124",1974,85,31.3636363636364
"125",1975,65,32.7777777777778
"126",1976,100,38.3333333333333
"127",1977,30,24
"128",1978,95,38.8888888888889
"129",1979,110,34.2857142857143
"130",1980,150,38.1818181818182
"131",1981,110,48
"132",1982,95,39.0909090909091
"133",1983,40,33.3333333333333
"134",1984,70,39.7058823529412
"135",1985,100,48.8461538461538
"136",1986,75,37.1428571428571
"137",1987,60,28.5416666666667
"138",1988,115,39.6153846153846
"139",1989,95,51
"140",1990,75,41.1111111111111
"141",1991,75,44.1666666666667
"142",1992,145,63.6363636363636
"143",1993,35,29.2857142857143
"144",1994,50,35.3333333333333
"145",1995,115,65
"146",1996,120,65.6
"147",1997,110,66
"148",1998,100,55
"149",1999,115,60.3125
"150",2000,65,43.75
"151",2001,125,52.7777777777778
"152",2002,85,42.8260869565217
"153",2003,140,61.4705882352941
"154",2004,140,57.3529411764706
"155",2005,150,60.5555555555556
"156",2006,95,52.5
"157",2007,125,38.9285714285714
"158",2008,115,53.2
"159",2009,105,57.1428571428571
"160",2010,110,57.3076923076923
"161",2011,100,50
"162",2012,75,43.8888888888889
"163",2013,50,32.5
"164",2014,125,49.0625
"165",2015,110,56.6666666666667
"166",2016,130,61.7647058823529
"167",2017,135,63.9473684210526
"168",2018,125,76.6666666666667
"169",2019,160,70
"170",2020,135,66.0869565217391
"171",2021,70,46.25
